<meta message midi_port port=0 time=0>
note_on channel=9 note=42 velocity=0 time=19
note_on channel=9 note=36 velocity=0 time=16
note_on channel=9 note=42 velocity=82 time=13
note_on channel=9 note=42 velocity=0 time=17
note_on channel=9 note=40 velocity=127 time=31
note_on channel=9 note=42 velocity=113 time=0
note_on channel=9 note=42 velocity=0 time=19
note_on channel=9 note=40 velocity=0 time=28
note_on channel=9 note=42 velocity=82 time=1
note_on channel=9 note=42 velocity=0 time=17
note_on channel=9 note=40 velocity=127 time=31
note_on channel=9 note=46 velocity=92 time=0
note_on channel=9 note=46 velocity=0 time=11
note_on channel=9 note=40 velocity=0 time=15
note_on channel=9 note=43 velocity=121 time=22
note_on channel=9 note=43 velocity=0 time=32
note_on channel=9 note=40 velocity=121 time=16
note_on channel=9 note=40 velocity=0 time=14
note_on channel=9 note=40 velocity=121 time=10
note_on channel=9 note=40 velocity=0 time=22
note_on channel=9 note=36 velocity=125 time=2
note_on channel=9 note=46 velocity=86 time=0
note_on channel=9 note=46 velocity=0 time=15
note_on channel=9 note=36 velocity=0 time=20
note_on channel=9 note=36 velocity=108 time=13
note_on channel=9 note=42 velocity=102 time=0
note_on channel=9 note=42 velocity=0 time=25
note_on channel=9 note=42 velocity=57 time=23
note_on channel=9 note=36 velocity=0 time=5
note_on channel=9 note=42 velocity=0 time=16
note_on channel=9 note=40 velocity=127 time=27
note_on channel=9 note=42 velocity=102 time=0
note_on channel=9 note=42 velocity=0 time=25
note_on channel=9 note=42 velocity=51 time=23
note_on channel=9 note=40 velocity=0 time=3
note_on channel=9 note=42 velocity=0 time=19
note_on channel=9 note=36 velocity=119 time=26
note_on channel=9 note=42 velocity=102 time=0
note_on channel=9 note=42 velocity=0 time=28
note_on channel=9 note=36 velocity=0 time=15
note_on channel=9 note=42 velocity=76 time=5
note_on channel=9 note=42 velocity=0 time=16
note_on channel=9 note=40 velocity=121 time=32
note_on channel=9 note=42 velocity=108 time=0
note_on channel=9 note=42 velocity=0 time=26
note_on channel=9 note=42 velocity=62 time=22
note_on channel=9 note=40 velocity=0 time=3
note_on channel=9 note=42 velocity=0 time=15
note_on channel=9 note=36 velocity=119 time=30
note_on channel=9 note=42 velocity=108 time=0
note_on channel=9 note=42 velocity=0 time=24
note_on channel=9 note=42 velocity=64 time=24
note_on channel=9 note=36 velocity=0 time=2
note_on channel=9 note=42 velocity=0 time=14
note_on channel=9 note=40 velocity=127 time=32
note_on channel=9 note=42 velocity=113 time=0
note_on channel=9 note=42 velocity=0 time=27
note_on channel=9 note=40 velocity=0 time=18
note_on channel=9 note=42 velocity=68 time=3
note_on channel=9 note=42 velocity=0 time=20
note_on channel=9 note=36 velocity=102 time=28
note_on channel=9 note=42 velocity=113 time=0
note_on channel=9 note=42 velocity=0 time=25
note_on channel=9 note=36 velocity=0 time=13
note_on channel=9 note=42 velocity=70 time=10
note_on channel=9 note=42 velocity=0 time=17
note_on channel=9 note=40 velocity=127 time=31
note_on channel=9 note=42 velocity=108 time=0
note_on channel=9 note=42 velocity=0 time=22
note_on channel=9 note=40 velocity=0 time=24
note_on channel=9 note=42 velocity=72 time=2
note_on channel=9 note=42 velocity=0 time=18
